hidden_layer_count,hidden_layer_size,activation_function,epoch_count,batch_size,learning_rate,feature_count,training_time,accuracy_score
3,10,relu,50,128,0.001,22,1m54s,0.7080034017562866
6,10,relu,50,128,0.001,22,2m19s,0.6845709681510925
3,20,relu,50,128,0.001,22,1m49s,0.7144232988357544
3,10,relu,100,128,0.001,22,3m46s,0.7100363969802856
3,10,relu,50,256,0.001,22,0m58s,0.7100363969802856
3,10,relu,50,256,0.0005,22,0m59s,0.7010485529899597
3,10,leaky_relu,50,256,0.001,22,1m28s,0.7092874050140381
3,30,leaky_relu,50,256,0.001,22,1m34s,0.7147442698478699
3,30,leaky_relu,100,256,0.001,22,3m5s,0.7191311717033386
3,30,leaky_relu,200,128,0.001,22,7m56s,0.7310079336166382
3,30,leaky_relu,200,128,0.001,8



